266.848625 -22.315889 24  936.0  694.3 19.6 OGLE-2016-BLG-0021
266.256250 -22.261972 24  785.1  218.8 19.9 OGLE-2016-BLG-0022
270.948625 -26.601444 49  563.7  264.3 19.0 OGLE-2016-BLG-0027
265.467250 -25.898028 10  923.9  662.6 20.2 OGLE-2016-BLG-0037 OGLE-2016-BLG-0095
268.128042 -22.648250 22  764.9  489.5 20.0 OGLE-2016-BLG-0053
268.235917 -21.763500 21  698.0  226.0 20.3 OGLE-2016-BLG-0066
272.083875 -26.961111 50  848.5  800.9 19.1 OGLE-2016-BLG-0078
271.718458 -26.733750 50 1084.9  528.5 16.8 MOA-2016-BLG-023 OGLE-2016-BLG-0079
272.064292 -27.856778 51 1063.4  582.6 16.6 OGLE-2016-BLG-0082 MOA-2016-BLG-077
271.615042 -27.892472 52  805.2  638.2 18.0 OGLE-2016-BLG-0083 MOA-2016-BLG-086
274.162208 -26.090667 69  626.7  468.2 15.1 OGLE-2016-BLG-0086
266.973708 -24.238917 25  456.5   44.1 19.3 OGLE-2016-BLG-0091
275.111333 -27.390167 72 1055.5  358.3 19.9 OGLE-2016-BLG-0114
264.452750 -26.414028 11  634.2  601.4 20.3 OGLE-2016-BLG-0122
271.535875 -26.560583 49 1034.4  340.8 20.4 OGLE-2016-BLG-0127
273.572792 -26.126222 69  154.9  375.4 19.0 OGLE-2016-BLG-0141 MOA-2016-BLG-146
274.573458 -25.739139 69 1032.5  248.9 19.3 OGLE-2016-BLG-0193 MOA-2016-BLG-093
271.808667 -27.841972 52  966.4  645.3 18.7 OGLE-2016-BLG-0211
266.305250 -22.423417 24  936.6  228.9 20.7 OGLE-2016-BLG-0324
265.443833 -25.584722  9 1018.7  633.0 20.1 OGLE-2016-BLG-0367 OGLE-2016-BLG-0520
273.219958 -22.328806 61   46.1  703.9 16.1 OGLE-2016-BLG-0401
271.626208 -26.623111 49 1091.7  413.3 18.1 OGLE-2016-BLG-0422
267.009000 -23.443028 23  263.4  609.8 18.9 OGLE-2016-BLG-0445
268.268208 -23.186556 22  263.6  483.0 20.1 OGLE-2016-BLG-0446
269.775458 -27.201083 30  132.9  576.5 19.8 OGLE-2016-BLG-0476
266.242583 -21.981389 24  534.2  259.7 19.3 OGLE-2016-BLG-0497
267.526333 -22.041167 21  813.7  862.3 21.1 OGLE-2016-BLG-0500
275.357292 -24.519444 68  259.6  259.1 18.0 OGLE-2016-BLG-0515
271.926583 -27.480917 51 1087.2  939.2 20.0 OGLE-2016-BLG-0531
264.838708 -21.076083  2  154.2  314.5 20.1 OGLE-2016-BLG-0535
267.683542 -24.507583 25  976.6  403.5 19.7 OGLE-2016-BLG-0570
274.857250 -24.849111 68   82.3  734.0 17.5 OGLE-2016-BLG-0586
272.840875 -26.840028 50  228.3  848.0 16.6 OGLE-2016-BLG-0620 MOA-2016-BLG-183
273.823792 -24.233694 65  835.9  752.6 12.4 OGLE-2016-BLG-0621 MOA-2016-BLG-175
273.655125 -26.363250 69  165.3  600.0 19.6 OGLE-2016-BLG-0651
274.972333 -24.585917 68  286.8  580.9 20.0 OGLE-2016-BLG-0654 MOA-2016-BLG-176
273.027583 -27.585278 51  255.5  627.1 18.9 OGLE-2016-BLG-0679 MOA-2016-BLG-189
264.528167 -27.049694 11   57.6  546.5 18.9 OGLE-2016-BLG-0685
266.520917 -21.665750 24  303.2  547.7 19.7 OGLE-2016-BLG-0691
265.261667 -26.535278 10  389.8  945.1 20.2 OGLE-2016-BLG-0697
264.373375 -25.722722 12  964.3  650.1 19.8 OGLE-2016-BLG-0720
267.874708 -24.220167 26 1038.2  186.5 19.7 OGLE-2016-BLG-0742
273.848917 -21.881861 64  306.1  848.7 20.0 OGLE-2016-BLG-0746
271.857958 -27.429556 52 1095.3  997.7 20.2 OGLE-2016-BLG-0753
266.889792 -23.384972 23  335.6  524.1 20.8 OGLE-2016-BLG-0759
273.131889 -27.276919 51  104.4  875.5 16.0 MOA-2016-BLG-197
275.066167 -25.675806 70  789.4  292.6 15.6 OGLE-2016-BLG-0483
272.959292 -23.272139 66  364.3  282.5 20.6 OGLE-2016-BLG-0545
272.050667 -24.946389 47  429.3  549.7 16.5 OGLE-2015-BLG-2112 MOA-2016-BLG-031
273.348958 -24.039944 65 1105.8  417.1 20.5 OGLE-2016-BLG-0117
265.446833 -26.358917 10  517.6  765.1 19.9 OGLE-2016-BLG-0313
273.500167 -23.936417 66 1060.0  566.0 18.7 OGLE-2016-BLG-0335
273.638792 -23.354139 66  579.1  810.9 20.4 OGLE-2016-BLG-0463
273.010792 -24.436389 65  829.3   58.0 17.6 OGLE-2016-BLG-0711
265.457417 -25.940667 10  887.6  678.4 19.3 OGLE-2016-BLG-0728
264.139750 -26.867750 11  277.1  271.8 20.6 OGLE-2016-BLG-0757
265.782583 -26.786861 10   83.6  579.8 19.8 OGLE-2016-BLG-0041
272.107333 -27.217139 50  887.0 1030.4 18.4 OGLE-2016-BLG-0077 MOA-2016-BLG-052
273.602000 -24.952417 65  253.6  412.3 19.7 OGLE-2016-BLG-0089
273.668500 -23.083528 66  348.3  897.0 17.2 OGLE-2016-BLG-0118 OGLE-2016-BLG-0136
273.514250 -25.950139 69  149.0  209.3 19.6 OGLE-2016-BLG-0244 MOA-2016-BLG-087
